sample_idx,time,sine_val
0,0.0,0.96419966
0,0.1,0.9268667
0,0.2,0.83808756
0,0.30000000000000004,0.75084776
0,0.4,0.6025673
0,0.5,0.5642092
0,0.6000000000000001,0.4440345
0,0.7000000000000001,0.3156181
0,0.8,0.1657349
0,0.9,0.024243534
0,1.0,-0.17262019
0,1.1,-0.21430284
0,1.2000000000000002,-0.37925482
0,1.3,-0.50324476
0,1.4000000000000001,-0.5866225
0,1.5,-0.73208624
0,1.6,-0.8649852
0,1.7000000000000002,-0.9235339
0,1.8,-1.0303441
0,1.9000000000000001,-1.076106
0,2.0,-1.1185753
0,2.1,-1.1527423
0,2.2,-1.1490005
0,2.3000000000000003,-1.2366712
0,2.4000000000000004,-1.2061882
0,2.5,-1.2052981
0,2.6,-1.239939
0,2.7,-1.1147285
0,2.8000000000000003,-1.0512557
0,2.9000000000000004,-1.107043
0,3.0,-0.9557717
0,3.1,-0.8815385
0,3.2,-0.82795846
0,3.3000000000000003,-0.682151
0,3.4000000000000004,-0.5857877
0,3.5,-0.44894946
0,3.6,-0.3054467
0,3.7,-0.23443998
0,3.8000000000000003,-0.08998417
0,3.9000000000000004,0.025118649
0,4.0,0.15651456
0,4.1000000000000005,0.30096167
0,4.2,0.47871837
0,4.3,0.48066396
0,4.4,0.71443933
0,4.5,0.8028611
0,4.6000000000000005,0.89978373
0,4.7,0.9960757
0,4.800000000000001,1.0269542
0,4.9,1.1566206
1,0.0,0.057699747
1,0.1,0.17139283
1,0.2,0.32674357
1,0.30000000000000004,0.36138475
1,0.4,0.46615678
1,0.5,0.53431576
1,0.6000000000000001,0.51508653
1,0.7000000000000001,0.5734402
1,0.8,0.43593368
1,0.9,0.41652527
1,1.0,0.36491352
1,1.1,0.21019424
1,1.2000000000000002,0.08267481
1,1.3,-0.04778844
1,1.4000000000000001,-0.13152038
1,1.5,-0.23822552
1,1.6,-0.451154
1,1.7000000000000002,-0.5000953
1,1.8,-0.5166038
1,1.9000000000000001,-0.5706412
1,2.0,-0.48306176
1,2.1,-0.5260033
1,2.2,-0.42318377
1,2.3000000000000003,-0.3675864
1,2.4000000000000004,-0.21004432
1,2.5,-0.11744894
1,2.6,0.037348665
1,2.7,0.14805965
1,2.8000000000000003,0.2748864
1,2.9000000000000004,0.35307002
1,3.0,0.50595444
1,3.1,0.57367694
1,3.2,0.484255
1,3.3000000000000003,0.55805546
1,3.4000000000000004,0.56658727
1,3.5,0.46624404
1,3.6,0.378806
1,3.7,0.2654733
1,3.8000000000000003,0.12268351
1,3.9000000000000004,-0.046764303
1,4.0,-0.12565298
1,4.1000000000000005,-0.2150812
1,4.2,-0.36291793
1,4.3,-0.4733023
1,4.4,-0.5140111
1,4.5,-0.5554536
1,4.6000000000000005,-0.5737484
1,4.7,-0.5063097
1,4.800000000000001,-0.44183415
1,4.9,-0.31166744
2,0.0,0.20383039
2,0.1,-0.009792998
2,0.2,-0.3412131
2,0.30000000000000004,-0.5994743
2,0.4,-0.8362002
2,0.5,-0.9280733
2,0.6000000000000001,-1.0106752
2,0.7000000000000001,-1.0414618
2,0.8,-0.9028614
2,0.9,-0.7411426
2,1.0,-0.52036995
2,1.1,-0.305987
2,1.2000000000000002,0.06979933
2,1.3,0.34278393
2,1.4000000000000001,0.6022059
2,1.5,0.8421944
2,1.6,0.91445696
2,1.7000000000000002,1.0435874
2,1.8,0.99641925
2,1.9000000000000001,0.9028681
2,2.0,0.6867805
2,2.1,0.46632347
2,2.2,0.19288951
2,2.3000000000000003,-0.09636785
2,2.4000000000000004,-0.38421154
2,2.5,-0.61798024
2,2.6,-0.80746746
2,2.7,-0.9351505
2,2.8000000000000003,-1.0778295
2,2.9000000000000004,-0.9990764
2,3.0,-0.91282356
2,3.1,-0.7088463
2,3.2,-0.51457417
2,3.3000000000000003,-0.17432947
2,3.4000000000000004,0.13408595
2,3.5,0.3825504
2,3.6,0.6231402
2,3.7,0.8463551
2,3.8000000000000003,0.9139999
2,3.9000000000000004,0.9976344
2,4.0,0.99481004
2,4.1000000000000005,0.95922506
2,4.2,0.76339585
2,4.3,0.39512697
2,4.4,0.13566077
2,4.5,-0.1515333
2,4.6000000000000005,-0.44028133
2,4.7,-0.6125505
2,4.800000000000001,-0.8483159
2,4.9,-0.9620891
3,0.0,0.6226004
3,0.1,0.61486894
3,0.2,0.4884339
3,0.30000000000000004,0.44931817
3,0.4,0.173852
3,0.5,0.081001885
3,0.6000000000000001,-0.1027409
3,0.7000000000000001,-0.21950185
3,0.8,-0.44540974
3,0.9,-0.52691114
3,1.0,-0.5912881
3,1.1,-0.64696646
3,1.2000000000000002,-0.6450777
3,1.3,-0.6106791
3,1.4000000000000001,-0.56919634
3,1.5,-0.4348669
3,1.6,-0.29674128
3,1.7000000000000002,-0.16312878
3,1.8,0.008267371
3,1.9000000000000001,0.17628846
3,2.0,0.30060133
3,2.1,0.40046963
3,2.2,0.5652939
3,2.3000000000000003,0.58846337
3,2.4000000000000004,0.6833232
3,2.5,0.6616781
3,2.6,0.61872375
3,2.7,0.47615203
3,2.8000000000000003,0.3580244
3,2.9000000000000004,0.28101593
3,3.0,0.09533433
3,3.1,-0.06444888
3,3.2,-0.20347543
3,3.3000000000000003,-0.41132864
3,3.4000000000000004,-0.49756405
3,3.5,-0.57216316
3,3.6,-0.620194
3,3.7,-0.6461885
3,3.8000000000000003,-0.6582599
3,3.9000000000000004,-0.5810907
3,4.0,-0.4431062
3,4.1000000000000005,-0.30682516
3,4.2,-0.1617583
3,4.3,-0.049429953
3,4.4,0.18282163
3,4.5,0.3280195
3,4.6000000000000005,0.47969317
3,4.7,0.58700836
3,4.800000000000001,0.6228019
3,4.9,0.676354
4,0.0,0.43397772
4,0.1,0.73451954
4,0.2,0.8849298
4,0.30000000000000004,0.94721526
4,0.4,0.84472996
4,0.5,0.60901237
4,0.6000000000000001,0.30274543
4,0.7000000000000001,-0.06869817
4,0.8,-0.41333902
4,0.9,-0.6994423
4,1.0,-0.7870821
4,1.1,-0.9248635
4,1.2000000000000002,-0.92797613
4,1.3,-0.72921425
4,1.4000000000000001,-0.40649876
4,1.5,-0.014639061
4,1.6,0.25617126
4,1.7000000000000002,0.67324734
4,1.8,0.7869914
4,1.9000000000000001,0.96698993
4,2.0,0.8904292
4,2.1,0.74049693
4,2.2,0.43854514
4,2.3000000000000003,0.15431428
4,2.4000000000000004,-0.24489154
4,2.5,-0.5371295
4,2.6,-0.8259665
4,2.7,-0.8398261
